Model,Task,Noise_Type,Noise_Level,Seed,N_samples,Acc,F1_macro,AUC,Acc_Black,Acc_East Asian,Acc_Indian,Acc_Latino_Hispanic,Acc_Middle Eastern,Acc_Southeast Asian,Acc_White,accuracy_gap,worst_group_acc,best_group_acc,dp_diff,eq_odds_diff,Acc_female,Acc_male,Acc_0-2,Acc_10-19,Acc_20-29,Acc_3-9,Acc_30-39,Acc_40-49,Acc_50-59,Acc_60-69,Acc_70+
Baseline,age,shot,2,3,1000,0.240000,0.151655,0.611927,,,,,,,,0.082493,0.196078,0.278571,,0.282985,,,0.117647,0.119565,0.544803,0.333333,0.039130,0.075000,0.046875,0.176471,0.000000
Baseline,age,shot,3,3,1000,0.252000,0.135329,0.566018,,,,,,,,0.068323,0.217391,0.285714,,0.228288,,,0.235294,0.032609,0.655914,0.251852,0.069565,0.058333,0.000000,0.098039,0.000000
Baseline,age,clean,0,4,1000,0.364000,0.319458,0.760466,,,,,,,,0.122727,0.298701,0.421429,,0.416044,,,0.294118,0.195652,0.512545,0.488889,0.330435,0.250000,0.203125,0.215686,0.166667
Baseline,age,cutout,1,4,1000,0.325000,0.303868,0.758889,,,,,,,,0.146104,0.246753,0.392857,,0.453164,,,0.411765,0.173913,0.351254,0.518519,0.343478,0.175000,0.093750,0.490196,0.250000
Baseline,age,cutout,2,4,1000,0.318000,0.277616,0.756307,,,,,,,,0.124200,0.268657,0.392857,,0.409308,,,0.294118,0.217391,0.362007,0.437037,0.300000,0.275000,0.125000,0.431373,0.083333
Baseline,age,cutout,3,4,1000,0.312000,0.292278,0.759793,,,,,,,,0.120789,0.254902,0.375691,,0.463139,,,0.352941,0.206522,0.333333,0.422222,0.334783,0.258333,0.109375,0.392157,0.166667
Baseline,age,defocus,1,4,1000,0.290000,0.217335,0.685105,,,,,,,,0.112253,0.252033,0.364286,,0.369391,,,0.117647,0.119565,0.512545,0.429630,0.200000,0.150000,0.046875,0.156863,0.083333
Baseline,age,defocus,2,4,1000,0.263000,0.169501,0.604036,,,,,,,,0.101299,0.227273,0.328571,,0.259070,,,0.000000,0.141304,0.440860,0.318519,0.195652,0.175000,0.046875,0.294118,0.000000
Baseline,age,defocus,3,4,1000,0.247000,0.142017,0.596375,,,,,,,,0.105844,0.201299,0.307143,,0.199823,,,0.000000,0.076087,0.491039,0.296296,0.160870,0.066667,0.046875,0.294118,0.000000
Baseline,age,gaussian,1,4,1000,0.275000,0.182270,0.678997,,,,,,,,0.111306,0.208955,0.320261,,0.319922,,,0.352941,0.000000,0.616487,0.274074,0.078261,0.025000,0.343750,0.333333,0.000000
Baseline,age,gaussian,2,4,1000,0.224000,0.137662,0.608374,,,,,,,,0.110331,0.164179,0.274510,,0.305305,,,0.117647,0.010870,0.508961,0.170370,0.026087,0.041667,0.437500,0.333333,0.000000
Baseline,age,gaussian,3,4,1000,0.224000,0.124398,0.561166,,,,,,,,0.061942,0.191304,0.253247,,0.195110,,,0.058824,0.010870,0.551971,0.229630,0.021739,0.041667,0.140625,0.352941,0.000000
Baseline,age,glass,1,4,1000,0.323000,0.254168,0.740473,,,,,,,,0.129133,0.268657,0.397790,,0.360839,,,0.352941,0.108696,0.491039,0.414815,0.286957,0.216667,0.218750,0.156863,0.000000
Baseline,age,glass,2,4,1000,0.305000,0.233347,0.688689,,,,,,,,0.153731,0.246269,0.400000,,0.346525,,,0.176471,0.119565,0.480287,0.422222,0.230435,0.200000,0.171875,0.235294,0.000000
Baseline,age,glass,3,4,1000,0.265000,0.166320,0.663542,,,,,,,,0.094805,0.233766,0.328571,,0.286429,,,0.058824,0.108696,0.444444,0.459259,0.208696,0.100000,0.078125,0.058824,0.000000
Baseline,age,impulse,1,4,1000,0.181000,0.119277,0.604484,,,,,,,,0.237681,0.095652,0.333333,,0.378966,,,0.058824,0.445652,0.240143,0.377778,0.039130,0.008333,0.109375,0.078431,0.000000
Baseline,age,impulse,2,4,1000,0.156000,0.111479,0.568711,,,,,,,,0.141615,0.086957,0.228571,,0.266055,,,0.058824,0.250000,0.200717,0.348148,0.026087,0.008333,0.187500,0.196078,0.000000
Baseline,age,impulse,3,4,1000,0.146000,0.102283,0.551083,,,,,,,,0.079814,0.113043,0.192857,,0.372087,,,0.058824,0.097826,0.179211,0.370370,0.060870,0.025000,0.156250,0.176471,0.000000
Baseline,age,jpeg,1,4,1000,0.364000,0.319106,0.760405,,,,,,,,0.122727,0.298701,0.421429,,0.416044,,,0.294118,0.195652,0.512545,0.488889,0.330435,0.250000,0.203125,0.215686,0.166667
Baseline,age,jpeg,2,4,1000,0.263000,0.228513,0.704163,,,,,,,,0.071849,0.235294,0.307143,,0.359515,,,0.294118,0.173913,0.186380,0.474074,0.326087,0.183333,0.109375,0.431373,0.000000
Baseline,age,jpeg,3,4,1000,0.211000,0.187711,0.668130,,,,,,,,0.107423,0.156863,0.264286,,0.391631,,,0.235294,0.293478,0.179211,0.303704,0.108696,0.341667,0.031250,0.411765,0.000000
Baseline,age,shot,1,4,1000,0.277000,0.178686,0.671146,,,,,,,,0.114751,0.216418,0.331169,,0.327333,,,0.294118,0.021739,0.598566,0.355556,0.082609,0.033333,0.265625,0.294118,0.000000
Baseline,age,shot,2,4,1000,0.257000,0.152045,0.618017,,,,,,,,0.069616,0.208955,0.278571,,0.289384,,,0.117647,0.021739,0.573477,0.348148,0.039130,0.033333,0.109375,0.509804,0.000000
Baseline,age,shot,3,4,1000,0.230000,0.139817,0.566104,,,,,,,,0.090119,0.182609,0.272727,,0.263357,,,0.117647,0.021739,0.480287,0.429630,0.030435,0.033333,0.062500,0.372549,0.000000
Ours,race,clean,0,0,1000,0.406000,0.391853,0.750359,0.597015,0.392857,0.396104,0.307190,0.234783,0.284553,0.558011,0.046523,0.384181,0.430704,,0.040015,,,,,,,,,,,
Ours,race,cutout,1,0,1000,0.446000,0.419377,0.793993,0.716418,0.500000,0.448052,0.339869,0.208696,0.178862,0.624309,0.047487,0.423729,0.471215,,0.072413,,,,,,,,,,,
Ours,race,cutout,2,0,1000,0.438000,0.406401,0.789163,0.679104,0.450000,0.519481,0.294118,0.200000,0.138211,0.657459,0.042475,0.418079,0.460554,,0.080764,,,,,,,,,,,
Ours,race,cutout,3,0,1000,0.417000,0.386700,0.780078,0.641791,0.464286,0.474026,0.241830,0.147826,0.170732,0.651934,0.073992,0.382298,0.456290,,0.078525,,,,,,,,,,,
Ours,race,defocus,1,0,1000,0.361000,0.348852,0.714569,0.522388,0.307143,0.344156,0.294118,0.217391,0.227642,0.535912,0.026867,0.348399,0.375267,,0.066957,,,,,,,,,,,
Ours,race,defocus,2,0,1000,0.328000,0.313691,0.677991,0.537313,0.257143,0.272727,0.379085,0.295652,0.081301,0.419890,0.044844,0.306968,0.351812,,0.069474,,,,,,,,,,,
Ours,race,defocus,3,0,1000,0.293000,0.282534,0.656680,0.395522,0.207143,0.318182,0.287582,0.313043,0.097561,0.386740,0.022418,0.282486,0.304904,,0.080597,,,,,,,,,,,
Ours,race,gaussian,1,0,1000,0.334000,0.314513,0.697343,0.470149,0.328571,0.428571,0.248366,0.173913,0.097561,0.491713,0.002594,0.332623,0.335217,,0.039434,,,,,,,,,,,
Ours,race,gaussian,2,0,1000,0.327000,0.302481,0.679313,0.485075,0.328571,0.409091,0.313725,0.130435,0.089431,0.436464,0.005473,0.324094,0.329567,,0.053478,,,,,,,,,,,
Ours,race,gaussian,3,0,1000,0.295000,0.258883,0.651942,0.567164,0.292857,0.441558,0.156863,0.139130,0.016260,0.375691,0.017487,0.285714,0.303202,,0.058242,,,,,,,,,,,
Ours,race,glass,1,0,1000,0.391000,0.378746,0.753191,0.574627,0.314286,0.402597,0.326797,0.208696,0.300813,0.535912,0.046663,0.369115,0.415778,,0.044258,,,,,,,,,,,
Ours,race,glass,2,0,1000,0.367000,0.350036,0.721716,0.485075,0.357143,0.363636,0.346405,0.217391,0.154472,0.546961,0.063753,0.337100,0.400853,,0.112771,,,,,,,,,,,
Ours,race,glass,3,0,1000,0.325000,0.310406,0.690605,0.500000,0.300000,0.240260,0.274510,0.147826,0.252033,0.491713,0.046479,0.303202,0.349680,,0.067539,,,,,,,,,,,
Ours,race,impulse,1,0,1000,0.348000,0.314338,0.718162,0.552239,0.242857,0.363636,0.261438,0.217391,0.056911,0.618785,0.000851,0.347548,0.348399,,0.079900,,,,,,,,,,,
Ours,race,impulse,2,0,1000,0.329000,0.292207,0.696770,0.485075,0.235714,0.357143,0.156863,0.156522,0.105691,0.668508,0.026899,0.316384,0.343284,,0.060416,,,,,,,,,,,
Ours,race,impulse,3,0,1000,0.314000,0.263546,0.682328,0.574627,0.178571,0.337662,0.104575,0.121739,0.065041,0.674033,0.014994,0.306968,0.321962,,0.036051,,,,,,,,,,,
Ours,race,jpeg,1,0,1000,0.405000,0.391182,0.750180,0.597015,0.392857,0.396104,0.307190,0.234783,0.284553,0.552486,0.044391,0.384181,0.428571,,0.038542,,,,,,,,,,,
Ours,race,jpeg,2,0,1000,0.357000,0.337964,0.713655,0.485075,0.350000,0.324675,0.418301,0.156522,0.130081,0.524862,0.001739,0.356077,0.357815,,0.075189,,,,,,,,,,,
Ours,race,jpeg,3,0,1000,0.301000,0.286307,0.667466,0.522388,0.292857,0.266234,0.320261,0.156522,0.105691,0.381215,0.000679,0.300640,0.301318,,0.083660,,,,,,,,,,,
Ours,race,shot,1,0,1000,0.359000,0.339159,0.710917,0.485075,0.400000,0.441558,0.313725,0.173913,0.113821,0.486188,0.026618,0.346516,0.373134,,0.052390,,,,,,,,,,,
Ours,race,shot,2,0,1000,0.335000,0.303010,0.689595,0.507463,0.328571,0.474026,0.313725,0.139130,0.040650,0.436464,0.008493,0.330490,0.338983,,0.045421,,,,,,,,,,,
Ours,race,shot,3,0,1000,0.311000,0.275654,0.655902,0.477612,0.350000,0.467532,0.209150,0.130435,0.024390,0.419890,0.016628,0.303202,0.319829,,0.035275,,,,,,,,,,,
Ours,race,clean,0,1,1000,0.406000,0.390961,0.752585,0.604478,0.414286,0.357143,0.313725,0.234783,0.268293,0.574586,0.042507,0.386064,0.428571,,0.056937,,,,,,,,,,,
Ours,race,cutout,1,1,1000,0.434000,0.417918,0.794773,0.694030,0.500000,0.454545,0.267974,0.295652,0.203252,0.558011,0.054024,0.408663,0.462687,,0.079565,,,,,,,,,,,
Ours,race,cutout,2,1,1000,0.426000,0.405141,0.789511,0.634328,0.471429,0.493506,0.287582,0.226087,0.178862,0.591160,0.028935,0.412429,0.441365,,0.086599,,,,,,,,,,,
Ours,race,cutout,3,1,1000,0.444000,0.424248,0.783484,0.664179,0.485714,0.500000,0.248366,0.243478,0.235772,0.635359,0.075346,0.408663,0.484009,,0.086046,,,,,,,,,,,
Ours,race,defocus,1,1,1000,0.351000,0.342747,0.711746,0.500000,0.285714,0.292208,0.300654,0.260870,0.235772,0.519337,0.017592,0.342750,0.360341,,0.039523,,,,,,,,,,,
Ours,race,defocus,2,1,1000,0.318000,0.309736,0.682688,0.522388,0.300000,0.272727,0.320261,0.295652,0.121951,0.364641,0.023522,0.306968,0.330490,,0.060677,,,,,,,,,,,
Ours,race,defocus,3,1,1000,0.299000,0.293111,0.662643,0.470149,0.257143,0.292208,0.254902,0.373913,0.130081,0.314917,0.021005,0.287846,0.308851,,0.085069,,,,,,,,,,,
Ours,race,gaussian,1,1,1000,0.374000,0.355279,0.703167,0.559701,0.400000,0.454545,0.254902,0.226087,0.130081,0.508287,0.002385,0.372881,0.375267,,0.060054,,,,,,,,,,,
Ours,race,gaussian,2,1,1000,0.346000,0.322386,0.682691,0.544776,0.350000,0.402597,0.307190,0.226087,0.073171,0.441989,0.010946,0.340866,0.351812,,0.066598,,,,,,,,,,,
Ours,race,gaussian,3,1,1000,0.283000,0.256889,0.650090,0.552239,0.264286,0.402597,0.130719,0.208696,0.048780,0.331492,0.027012,0.268657,0.295669,,0.069581,,,,,,,,,,,
Ours,race,glass,1,1,1000,0.400000,0.390294,0.746986,0.589552,0.364286,0.402597,0.300654,0.269565,0.292683,0.524862,0.049791,0.376648,0.426439,,0.048633,,,,,,,,,,,
Ours,race,glass,2,1,1000,0.362000,0.346510,0.714407,0.492537,0.385714,0.350649,0.287582,0.226087,0.170732,0.535912,0.089231,0.320151,0.409382,,0.101911,,,,,,,,,,,
Ours,race,glass,3,1,1000,0.325000,0.315312,0.689158,0.500000,0.278571,0.233766,0.254902,0.243478,0.252033,0.469613,0.022386,0.314501,0.336887,,0.059973,,,,,,,,,,,
Ours,race,impulse,1,1,1000,0.356000,0.327515,0.715146,0.619403,0.257143,0.331169,0.183007,0.313043,0.105691,0.602210,0.028253,0.342750,0.371002,,0.064840,,,,,,,,,,,
Ours,race,impulse,2,1,1000,0.319000,0.286052,0.692351,0.544776,0.250000,0.259740,0.150327,0.252174,0.073171,0.607735,0.017624,0.310734,0.328358,,0.053206,,,,,,,,,,,
Ours,race,impulse,3,1,1000,0.295000,0.253833,0.671061,0.559701,0.178571,0.220779,0.104575,0.269565,0.040650,0.602210,0.010621,0.290019,0.300640,,0.046275,,,,,,,,,,,
Ours,race,jpeg,1,1,1000,0.408000,0.392779,0.752407,0.611940,0.421429,0.357143,0.313725,0.234783,0.268293,0.574586,0.042756,0.387947,0.430704,,0.053076,,,,,,,,,,,
Ours,race,jpeg,2,1,1000,0.365000,0.351247,0.715833,0.485075,0.378571,0.370130,0.359477,0.165217,0.178862,0.519337,0.004758,0.362473,0.367232,,0.059866,,,,,,,,,,,
Ours,race,jpeg,3,1,1000,0.304000,0.296344,0.671739,0.440299,0.342857,0.331169,0.261438,0.182609,0.138211,0.375691,0.002313,0.302772,0.305085,,0.043656,,,,,,,,,,,
Ours,race,shot,1,1,1000,0.357000,0.339059,0.709983,0.462687,0.414286,0.396104,0.320261,0.252174,0.089431,0.480663,0.005754,0.353945,0.359699,,0.065265,,,,,,,,,,,
Ours,race,shot,2,1,1000,0.326000,0.302391,0.689480,0.537313,0.307143,0.370130,0.267974,0.243478,0.056911,0.430939,0.008457,0.322034,0.330490,,0.037472,,,,,,,,,,,
Ours,race,shot,3,1,1000,0.303000,0.274560,0.651130,0.522388,0.335714,0.383117,0.176471,0.252174,0.024390,0.375691,0.000430,0.302772,0.303202,,0.068025,,,,,,,,,,,
Ours,race,clean,0,2,1000,0.411000,0.398846,0.749203,0.574627,0.421429,0.376623,0.274510,0.243478,0.341463,0.580110,0.037107,0.393597,0.430704,,0.063173,,,,,,,,,,,
Ours,race,cutout,1,2,1000,0.436000,0.417470,0.793985,0.708955,0.478571,0.422078,0.281046,0.330435,0.178862,0.585635,0.050257,0.412429,0.462687,,0.078760,,,,,,,,,,,
Ours,race,cutout,2,2,1000,0.434000,0.410063,0.789325,0.679104,0.457143,0.525974,0.228758,0.269565,0.178862,0.607735,0.005838,0.431262,0.437100,,0.094122,,,,,,,,,,,
Ours,race,cutout,3,2,1000,0.427000,0.403171,0.781776,0.671642,0.435714,0.519481,0.202614,0.286957,0.170732,0.613260,0.059175,0.399247,0.458422,,0.092433,,,,,,,,,,,
Ours,race,defocus,1,2,1000,0.355000,0.345617,0.708031,0.537313,0.314286,0.324675,0.267974,0.217391,0.227642,0.524862,0.038167,0.337100,0.375267,,0.050597,,,,,,,,,,,
Ours,race,defocus,2,2,1000,0.319000,0.308281,0.680491,0.477612,0.250000,0.246753,0.366013,0.295652,0.113821,0.430939,0.041716,0.299435,0.341151,,0.053380,,,,,,,,,,,
Ours,race,defocus,3,2,1000,0.286000,0.281943,0.657443,0.432836,0.200000,0.266234,0.241830,0.373913,0.178862,0.314917,0.008569,0.281450,0.290019,,0.069666,,,,,,,,,,,
Ours,race,gaussian,1,2,1000,0.347000,0.331485,0.700489,0.462687,0.371429,0.409091,0.274510,0.200000,0.121951,0.497238,0.002983,0.345416,0.348399,,0.027279,,,,,,,,,,,
Ours,race,gaussian,2,2,1000,0.342000,0.320366,0.685052,0.462687,0.285714,0.487013,0.300654,0.260870,0.065041,0.447514,0.013644,0.334755,0.348399,,0.065328,,,,,,,,,,,
Ours,race,gaussian,3,2,1000,0.291000,0.268899,0.651281,0.447761,0.221429,0.435065,0.143791,0.269565,0.056911,0.403315,0.030031,0.275053,0.305085,,0.077788,,,,,,,,,,,
Ours,race,glass,1,2,1000,0.395000,0.380558,0.744327,0.597015,0.321429,0.402597,0.339869,0.200000,0.276423,0.546961,0.019053,0.386064,0.405117,,0.030468,,,,,,,,,,,
Ours,race,glass,2,2,1000,0.355000,0.339707,0.712301,0.477612,0.385714,0.344156,0.294118,0.208696,0.170732,0.519337,0.074306,0.320151,0.394456,,0.070058,,,,,,,,,,,
Ours,race,glass,3,2,1000,0.325000,0.312264,0.688045,0.514925,0.314286,0.279221,0.235294,0.165217,0.252033,0.458564,0.042463,0.305085,0.347548,,0.070625,,,,,,,,,,,
Ours,race,impulse,1,2,1000,0.349000,0.325067,0.720952,0.597015,0.271429,0.305195,0.215686,0.304348,0.097561,0.574586,0.021358,0.338983,0.360341,,0.063206,,,,,,,,,,,
Ours,race,impulse,2,2,1000,0.313000,0.284866,0.701534,0.552239,0.235714,0.201299,0.183007,0.295652,0.089431,0.563536,0.012861,0.306968,0.319829,,0.049724,,,,,,,,,,,
Ours,race,impulse,3,2,1000,0.302000,0.261641,0.680874,0.604478,0.192857,0.149351,0.124183,0.321739,0.056911,0.596685,0.009484,0.297552,0.307036,,0.048942,,,,,,,,,,,
Ours,race,jpeg,1,2,1000,0.410000,0.397894,0.749058,0.567164,0.421429,0.376623,0.274510,0.243478,0.341463,0.580110,0.034974,0.393597,0.428571,,0.065104,,,,,,,,,,,
Ours,race,jpeg,2,2,1000,0.358000,0.342950,0.710626,0.492537,0.407143,0.396104,0.294118,0.191304,0.130081,0.502762,0.007637,0.353945,0.361582,,0.047019,,,,,,,,,,,
Ours,race,jpeg,3,2,1000,0.274000,0.262696,0.661017,0.402985,0.278571,0.331169,0.267974,0.182609,0.056911,0.337017,0.002032,0.272921,0.274953,,0.039322,,,,,,,,,,,
Ours,race,shot,1,2,1000,0.359000,0.343365,0.708896,0.477612,0.378571,0.402597,0.352941,0.208696,0.121951,0.480663,0.009521,0.353945,0.363465,,0.064209,,,,,,,,,,,
Ours,race,shot,2,2,1000,0.341000,0.309378,0.691797,0.492537,0.307143,0.461039,0.326797,0.226087,0.016260,0.458564,0.011761,0.334755,0.346516,,0.043075,,,,,,,,,,,
Ours,race,shot,3,2,1000,0.303000,0.272429,0.657949,0.470149,0.221429,0.435065,0.189542,0.252174,0.024390,0.447514,0.039725,0.284369,0.324094,,0.050782,,,,,,,,,,,
Ours,race,clean,0,3,1000,0.422000,0.409286,0.752305,0.626866,0.407143,0.389610,0.281046,0.260870,0.341463,0.585635,0.036468,0.404896,0.441365,,0.059091,,,,,,,,,,,
Ours,race,cutout,1,3,1000,0.438000,0.419863,0.794063,0.686567,0.457143,0.480519,0.307190,0.243478,0.203252,0.596685,0.054522,0.412429,0.466951,,0.089112,,,,,,,,,,,
Ours,race,cutout,2,3,1000,0.431000,0.406630,0.790510,0.656716,0.414286,0.512987,0.287582,0.182609,0.211382,0.635359,0.019519,0.421846,0.441365,,0.095635,,,,,,,,,,,
Ours,race,cutout,3,3,1000,0.422000,0.401293,0.783510,0.634328,0.414286,0.500000,0.235294,0.191304,0.243902,0.629834,0.056545,0.395480,0.452026,,0.090805,,,,,,,,,,,
Ours,race,defocus,1,3,1000,0.353000,0.342794,0.710247,0.507463,0.314286,0.292208,0.267974,0.243478,0.252033,0.530387,0.041933,0.333333,0.375267,,0.065595,,,,,,,,,,,
Ours,race,defocus,2,3,1000,0.320000,0.309255,0.680054,0.522388,0.242857,0.240260,0.339869,0.269565,0.146341,0.430939,0.092034,0.276836,0.368870,,0.104431,,,,,,,,,,,
Ours,race,defocus,3,3,1000,0.300000,0.294627,0.655904,0.440299,0.192857,0.292208,0.313725,0.278261,0.195122,0.359116,0.006826,0.296375,0.303202,,0.089440,,,,,,,,,,,
Ours,race,gaussian,1,3,1000,0.348000,0.333305,0.693174,0.537313,0.378571,0.331169,0.287582,0.226087,0.113821,0.486188,0.011195,0.342750,0.353945,,0.033856,,,,,,,,,,,
Ours,race,gaussian,2,3,1000,0.325000,0.308977,0.680330,0.485075,0.357143,0.337662,0.274510,0.243478,0.097561,0.419890,0.001707,0.324094,0.325800,,0.046859,,,,,,,,,,,
Ours,race,gaussian,3,3,1000,0.284000,0.258810,0.647185,0.455224,0.321429,0.441558,0.163399,0.173913,0.040650,0.331492,0.012833,0.277186,0.290019,,0.059426,,,,,,,,,,,
Ours,race,glass,1,3,1000,0.401000,0.389985,0.745625,0.604478,0.350000,0.396104,0.294118,0.260870,0.300813,0.541436,0.043893,0.380414,0.424307,,0.046876,,,,,,,,,,,
Ours,race,glass,2,3,1000,0.359000,0.346172,0.718649,0.470149,0.357143,0.337662,0.313725,0.234783,0.186992,0.530387,0.070788,0.325800,0.396588,,0.081588,,,,,,,,,,,
Ours,race,glass,3,3,1000,0.318000,0.303706,0.686842,0.485075,0.292857,0.207792,0.235294,0.200000,0.243902,0.502762,0.027538,0.305085,0.332623,,0.050885,,,,,,,,,,,
Ours,race,impulse,1,3,1000,0.349000,0.321775,0.716518,0.597015,0.328571,0.350649,0.196078,0.226087,0.097561,0.558011,0.041435,0.329567,0.371002,,0.066623,,,,,,,,,,,
Ours,race,impulse,2,3,1000,0.329000,0.297943,0.693357,0.589552,0.292857,0.279221,0.143791,0.217391,0.113821,0.580110,0.026899,0.316384,0.343284,,0.062350,,,,,,,,,,,
Ours,race,impulse,3,3,1000,0.307000,0.265476,0.681436,0.664179,0.207143,0.246753,0.084967,0.208696,0.081301,0.574586,0.020145,0.297552,0.317697,,0.055881,,,,,,,,,,,
Ours,race,jpeg,1,3,1000,0.421000,0.408098,0.752227,0.626866,0.407143,0.389610,0.281046,0.260870,0.333333,0.585635,0.034336,0.404896,0.439232,,0.056894,,,,,,,,,,,
Ours,race,jpeg,2,3,1000,0.356000,0.340104,0.716425,0.529851,0.371429,0.292208,0.379085,0.191304,0.121951,0.513812,0.000145,0.355932,0.356077,,0.070553,,,,,,,,,,,
Ours,race,jpeg,3,3,1000,0.302000,0.284429,0.672816,0.514925,0.342857,0.266234,0.248366,0.139130,0.113821,0.419890,0.010593,0.296375,0.306968,,0.069013,,,,,,,,,,,
Ours,race,shot,1,3,1000,0.349000,0.335952,0.705689,0.500000,0.392857,0.344156,0.313725,0.226087,0.121951,0.469613,0.001281,0.348399,0.349680,,0.057080,,,,,,,,,,,
Ours,race,shot,2,3,1000,0.314000,0.288734,0.684720,0.500000,0.314286,0.363636,0.287582,0.182609,0.040650,0.425414,0.010978,0.308851,0.319829,,0.037885,,,,,,,,,,,
Ours,race,shot,3,3,1000,0.304000,0.271663,0.645657,0.470149,0.342857,0.493506,0.176471,0.121739,0.040650,0.392265,0.021780,0.293785,0.315565,,0.050827,,,,,,,,,,,
Ours,race,clean,0,4,1000,0.424000,0.413409,0.753602,0.597015,0.428571,0.389610,0.294118,0.330435,0.292683,0.580110,0.048763,0.401130,0.449893,,0.057613,,,,,,,,,,,
Ours,race,cutout,1,4,1000,0.432000,0.412085,0.794912,0.686567,0.507143,0.448052,0.281046,0.260870,0.186992,0.574586,0.053775,0.406780,0.460554,,0.074023,,,,,,,,,,,
Ours,race,cutout,2,4,1000,0.423000,0.397715,0.789762,0.686567,0.442857,0.493506,0.209150,0.217391,0.195122,0.618785,0.046631,0.401130,0.447761,,0.079056,,,,,,,,,,,
Ours,race,cutout,3,4,1000,0.425000,0.397573,0.782722,0.649254,0.471429,0.500000,0.196078,0.217391,0.178862,0.651934,0.038849,0.406780,0.445629,,0.072723,,,,,,,,,,,
Ours,race,defocus,1,4,1000,0.339000,0.331311,0.710470,0.432836,0.292857,0.324675,0.294118,0.234783,0.219512,0.502762,0.040190,0.320151,0.360341,,0.086268,,,,,,,,,,,
Ours,race,defocus,2,4,1000,0.309000,0.301247,0.680550,0.417910,0.257143,0.331169,0.307190,0.286957,0.113821,0.397790,0.036456,0.291902,0.328358,,0.094637,,,,,,,,,,,
Ours,race,defocus,3,4,1000,0.299000,0.293288,0.660834,0.425373,0.221429,0.344156,0.254902,0.304348,0.162602,0.353591,0.008958,0.294243,0.303202,,0.057489,,,,,,,,,,,
Ours,race,gaussian,1,4,1000,0.354000,0.337936,0.700395,0.507463,0.378571,0.448052,0.267974,0.200000,0.113821,0.475138,0.023988,0.342750,0.366738,,0.032337,,,,,,,,,,,
Ours,race,gaussian,2,4,1000,0.329000,0.301231,0.684170,0.470149,0.292857,0.428571,0.352941,0.165217,0.048780,0.441989,0.010838,0.323917,0.334755,,0.043346,,,,,,,,,,,
Ours,race,gaussian,3,4,1000,0.281000,0.255152,0.649521,0.455224,0.250000,0.454545,0.163399,0.200000,0.032520,0.348066,0.043323,0.257996,0.301318,,0.070138,,,,,,,,,,,
Ours,race,glass,1,4,1000,0.403000,0.394359,0.748452,0.552239,0.350000,0.396104,0.294118,0.295652,0.317073,0.558011,0.044142,0.382298,0.426439,,0.060587,,,,,,,,,,,
Ours,race,glass,2,4,1000,0.372000,0.355489,0.718981,0.485075,0.364286,0.363636,0.294118,0.252174,0.186992,0.569061,0.066383,0.340866,0.407249,,0.090391,,,,,,,,,,,
Ours,race,glass,3,4,1000,0.336000,0.327318,0.688309,0.500000,0.285714,0.292208,0.267974,0.252174,0.260163,0.453039,0.045840,0.314501,0.360341,,0.057469,,,,,,,,,,,
Ours,race,impulse,1,4,1000,0.354000,0.328830,0.718405,0.544776,0.257143,0.357143,0.281046,0.304348,0.081301,0.563536,0.028004,0.340866,0.368870,,0.071501,,,,,,,,,,,
Ours,race,impulse,2,4,1000,0.322000,0.290265,0.696488,0.485075,0.242857,0.272727,0.189542,0.313043,0.056911,0.602210,0.015989,0.314501,0.330490,,0.049484,,,,,,,,,,,
Ours,race,impulse,3,4,1000,0.305000,0.261708,0.677983,0.589552,0.171429,0.253247,0.137255,0.304348,0.016260,0.580110,0.007850,0.301318,0.309168,,0.035267,,,,,,,,,,,
Ours,race,jpeg,1,4,1000,0.423000,0.412615,0.753557,0.604478,0.428571,0.383117,0.294118,0.330435,0.292683,0.574586,0.046631,0.401130,0.447761,,0.060091,,,,,,,,,,,
Ours,race,jpeg,2,4,1000,0.354000,0.343431,0.714029,0.455224,0.414286,0.350649,0.346405,0.226087,0.138211,0.469613,0.028212,0.339019,0.367232,,0.075662,,,,,,,,,,,
Ours,race,jpeg,3,4,1000,0.298000,0.286907,0.666979,0.507463,0.335714,0.311688,0.248366,0.191304,0.089431,0.353591,0.000956,0.297552,0.298507,,0.044852,,,,,,,,,,,
Ours,race,shot,1,4,1000,0.369000,0.351127,0.706203,0.470149,0.378571,0.461039,0.359477,0.234783,0.097561,0.486188,0.004260,0.366738,0.370998,,0.049585,,,,,,,,,,,
Ours,race,shot,2,4,1000,0.320000,0.287497,0.685242,0.440299,0.292857,0.467532,0.300654,0.182609,0.008130,0.441989,0.004337,0.317697,0.322034,,0.042220,,,,,,,,,,,
Ours,race,shot,3,4,1000,0.305000,0.273497,0.648306,0.462687,0.314286,0.461039,0.176471,0.217391,0.024390,0.403315,0.003835,0.303202,0.307036,,0.042815,,,,,,,,,,,
Ours,gender,clean,0,0,1000,0.773000,0.771425,0.852690,,,,,,,,0.182998,0.686567,0.869565,0.231672,0.217400,0.735608,0.806026,,,,,,,,,
Ours,gender,cutout,1,0,1000,0.801000,0.797525,0.879252,,,,,,,,0.137011,0.738806,0.875817,0.261152,0.221880,0.714286,0.877589,,,,,,,,,
Ours,gender,cutout,2,0,1000,0.788000,0.784903,0.877883,,,,,,,,0.176178,0.686567,0.862745,0.310498,0.244055,0.712154,0.854991,,,,,,,,,
