Model,Task,Noise_Type,Noise_Level,Seed,accuracy_gap,dp_diff,Acc_Black,Acc_East Asian,Acc_Indian,Acc_Latino_Hispanic,Acc_Middle Eastern,Acc_Southeast Asian,Acc_White,Acc_female,Acc_male,Acc_0-2,Acc_10-19,Acc_20-29,Acc_3-9,Acc_30-39,Acc_40-49,Acc_50-59,Acc_60-69,Acc_70+
Ours,age,defocus,1,2,0.1112,,,,,,,,,,,0.2353,0.0870,0.4803,0.3185,0.2348,0.2000,0.1406,0.1765,0.0833
Ours,age,defocus,2,2,0.1630,,,,,,,,,,,0.1765,0.0870,0.5197,0.2593,0.2000,0.0833,0.0938,0.2549,0.0000
Ours,age,defocus,3,2,0.1492,,,,,,,,,,,0.2353,0.1413,0.4444,0.3333,0.2348,0.0500,0.1562,0.2745,0.0000
Ours,age,gaussian,1,2,0.1331,,,,,,,,,,,0.4706,0.0978,0.3656,0.3926,0.3826,0.0917,0.1406,0.3137,0.0833
Ours,age,gaussian,2,2,0.0889,,,,,,,,,,,0.2941,0.1630,0.5591,0.2889,0.2348,0.1500,0.1406,0.2745,0.0000
Ours,age,gaussian,3,2,0.1078,,,,,,,,,,,0.1176,0.1304,0.5950,0.3407,0.1130,0.1417,0.1094,0.1176,0.0000
Ours,age,glass,1,2,0.1652,,,,,,,,,,,0.3529,0.0978,0.4659,0.4667,0.3043,0.1917,0.2031,0.1569,0.1667
Ours,age,glass,2,2,0.1739,,,,,,,,,,,0.2941,0.0978,0.4229,0.4370,0.3217,0.1583,0.1406,0.1765,0.0000
Ours,age,glass,3,2,0.1292,,,,,,,,,,,0.2941,0.0978,0.3405,0.3926,0.2913,0.1667,0.1875,0.0980,0.0833
Ours,age,impulse,1,2,0.1183,,,,,,,,,,,0.1176,0.1630,0.6989,0.3556,0.0435,0.0667,0.0469,0.1176,0.0000
Ours,age,impulse,2,2,0.0910,,,,,,,,,,,0.1176,0.1630,0.6989,0.2222,0.0391,0.0750,0.0625,0.0784,0.0000
Ours,age,impulse,3,2,0.1290,,,,,,,,,,,0.0588,0.1304,0.7312,0.2370,0.0391,0.1083,0.0625,0.1569,0.0000
Ours,age,jpeg,1,2,0.1474,,,,,,,,,,,0.3529,0.1413,0.4409,0.4296,0.3217,0.1500,0.2344,0.2157,0.2500
Ours,age,jpeg,2,2,0.1438,,,,,,,,,,,0.3529,0.1304,0.4659,0.3481,0.2739,0.1250,0.1250,0.1765,0.0833
Ours,age,jpeg,3,2,0.1188,,,,,,,,,,,0.4118,0.1413,0.4014,0.2519,0.2826,0.1583,0.0469,0.2157,0.0833
Ours,age,shot,1,2,0.1659,,,,,,,,,,,0.4118,0.1739,0.4516,0.4444,0.3217,0.0750,0.1406,0.1765,0.0833
Ours,age,shot,2,2,0.0918,,,,,,,,,,,0.2941,0.2174,0.5520,0.3630,0.1739,0.0750,0.0938,0.2549,0.0000
Ours,age,shot,3,2,0.0978,,,,,,,,,,,0.2353,0.0652,0.7527,0.4000,0.0435,0.0833,0.0156,0.1176,0.0000
Ours,age,clean,0,3,0.1188,,,,,,,,,,,0.2941,0.1087,0.4624,0.4519,0.2783,0.1583,0.2812,0.2157,0.1667
Ours,age,cutout,1,3,0.1314,,,,,,,,,,,0.3529,0.0870,0.5878,0.5778,0.1870,0.3167,0.2656,0.1373,0.0000
Ours,age,cutout,2,3,0.1615,,,,,,,,,,,0.3529,0.0870,0.6093,0.6000,0.1870,0.3333,0.2812,0.1373,0.0000
Ours,age,cutout,3,3,0.2003,,,,,,,,,,,0.2941,0.0435,0.6667,0.5481,0.1348,0.3417,0.2656,0.0980,0.0833
Ours,age,defocus,1,3,0.0841,,,,,,,,,,,0.1765,0.0652,0.4910,0.3185,0.2609,0.1917,0.1250,0.1373,0.0000
Ours,age,defocus,2,3,0.1224,,,,,,,,,,,0.1765,0.1087,0.4624,0.3185,0.2000,0.1500,0.1562,0.1961,0.0000
Ours,age,defocus,3,3,0.1622,,,,,,,,,,,0.2353,0.1413,0.3835,0.4148,0.2565,0.0583,0.1719,0.1961,0.0000
Ours,age,gaussian,1,3,0.1935,,,,,,,,,,,0.3529,0.0978,0.3799,0.4148,0.3957,0.0667,0.0625,0.2941,0.0000
Ours,age,gaussian,2,3,0.0959,,,,,,,,,,,0.2941,0.0978,0.5269,0.3852,0.1913,0.1583,0.0625,0.2549,0.0833
Ours,age,gaussian,3,3,0.1484,,,,,,,,,,,0.1176,0.0109,0.5735,0.4667,0.1304,0.1417,0.1250,0.0784,0.0000
Ours,age,glass,1,3,0.1289,,,,,,,,,,,0.3529,0.0761,0.4982,0.4148,0.2783,0.2167,0.2812,0.1373,0.1667
Ours,age,glass,2,3,0.1302,,,,,,,,,,,0.2353,0.0652,0.4803,0.4296,0.3043,0.1917,0.1094,0.0980,0.0000
Ours,age,glass,3,3,0.1439,,,,,,,,,,,0.2353,0.1087,0.3978,0.4222,0.3087,0.2167,0.1250,0.0784,0.0000
Ours,age,impulse,1,3,0.0886,,,,,,,,,,,0.2941,0.0652,0.7455,0.3556,0.0739,0.0833,0.0625,0.1569,0.0000
Ours,age,impulse,2,3,0.0688,,,,,,,,,,,0.1765,0.0326,0.7204,0.2593,0.0478,0.1250,0.1094,0.1176,0.0833
Ours,age,impulse,3,3,0.0690,,,,,,,,,,,0.0588,0.0435,0.6774,0.2148,0.0391,0.2833,0.0469,0.0196,0.0833
Ours,age,jpeg,1,3,0.1188,,,,,,,,,,,0.2941,0.1087,0.4588,0.4519,0.2783,0.1583,0.2812,0.2157,0.1667
Ours,age,jpeg,2,3,0.1208,,,,,,,,,,,0.4118,0.0978,0.4624,0.4000,0.2261,0.1417,0.1406,0.1961,0.0833
Ours,age,jpeg,3,3,0.1273,,,,,,,,,,,0.2941,0.0978,0.4444,0.3111,0.1783,0.2500,0.0625,0.1961,0.0833
Ours,age,shot,1,3,0.1933,,,,,,,,,,,0.4706,0.1739,0.4086,0.4444,0.3217,0.1250,0.0938,0.2353,0.0833
Ours,age,shot,2,3,0.1147,,,,,,,,,,,0.2941,0.1739,0.4803,0.4667,0.1739,0.0917,0.0938,0.2549,0.0000
Ours,age,shot,3,3,0.1627,,,,,,,,,,,0.1176,0.0543,0.6452,0.4963,0.0826,0.1000,0.0781,0.0980,0.0000
Ours,age,clean,0,4,0.1225,,,,,,,,,,,0.3529,0.1087,0.4444,0.3926,0.2696,0.1750,0.2188,0.2745,0.1667
Ours,age,cutout,1,4,0.1363,,,,,,,,,,,0.4118,0.0870,0.6129,0.6148,0.1783,0.3000,0.0938,0.2157,0.0000
Ours,age,cutout,2,4,0.1351,,,,,,,,,,,0.2941,0.0652,0.6272,0.6519,0.1783,0.3750,0.1406,0.2157,0.0000
Ours,age,cutout,3,4,0.1512,,,,,,,,,,,0.4118,0.0326,0.6882,0.6222,0.1609,0.3583,0.1562,0.2353,0.0000
Ours,age,defocus,1,4,0.1234,,,,,,,,,,,0.2353,0.0978,0.4122,0.3630,0.2522,0.1750,0.1875,0.1961,0.0000
Ours,age,defocus,2,4,0.1628,,,,,,,,,,,0.1765,0.1087,0.4516,0.3630,0.1783,0.1250,0.1875,0.1765,0.0000
Ours,age,defocus,3,4,0.1764,,,,,,,,,,,0.1765,0.1196,0.4301,0.4519,0.2217,0.0833,0.1719,0.2353,0.0000
Ours,age,gaussian,1,4,0.0520,,,,,,,,,,,0.3529,0.1087,0.4265,0.4296,0.3826,0.1500,0.1094,0.3333,0.0000
Ours,age,gaussian,2,4,0.0664,,,,,,,,,,,0.2941,0.0870,0.5090,0.3556,0.2435,0.2250,0.1875,0.2941,0.0000
Ours,age,gaussian,3,4,0.1143,,,,,,,,,,,0.1765,0.0326,0.4910,0.4889,0.1000,0.1583,0.0938,0.0784,0.0000
Ours,age,glass,1,4,0.1225,,,,,,,,,,,0.4118,0.0543,0.4552,0.4148,0.2870,0.2000,0.2031,0.2157,0.0000
Ours,age,glass,2,4,0.2045,,,,,,,,,,,0.2353,0.0978,0.4516,0.4444,0.3174,0.1667,0.1250,0.1569,0.0000
Ours,age,glass,3,4,0.1552,,,,,,,,,,,0.3529,0.0543,0.3513,0.4444,0.2435,0.2083,0.0938,0.0980,0.0000
Ours,age,impulse,1,4,0.1076,,,,,,,,,,,0.1176,0.0870,0.7312,0.4667,0.0478,0.0917,0.1250,0.1176,0.0000
Ours,age,impulse,2,4,0.0899,,,,,,,,,,,0.1176,0.0978,0.6703,0.3778,0.0217,0.0667,0.2031,0.0784,0.0000
Ours,age,impulse,3,4,0.0888,,,,,,,,,,,0.0588,0.0761,0.6595,0.4074,0.0174,0.1250,0.1875,0.0980,0.0000
Ours,age,jpeg,1,4,0.1225,,,,,,,,,,,0.3529,0.1087,0.4444,0.3926,0.2696,0.1750,0.2188,0.2745,0.1667
Ours,age,jpeg,2,4,0.0651,,,,,,,,,,,0.3529,0.0870,0.4301,0.4074,0.2913,0.0833,0.1094,0.1961,0.1667
Ours,age,jpeg,3,4,0.0886,,,,,,,,,,,0.4706,0.1739,0.3297,0.2741,0.3478,0.2167,0.0469,0.2157,0.0000
Ours,age,shot,1,4,0.1045,,,,,,,,,,,0.5294,0.1304,0.4480,0.5111,0.2261,0.0750,0.0938,0.2549,0.0833
Ours,age,shot,2,4,0.0877,,,,,,,,,,,0.2941,0.1630,0.4731,0.4667,0.1522,0.0917,0.0781,0.2941,0.0000
Ours,age,shot,3,4,0.0684,,,,,,,,,,,0.1765,0.0761,0.5986,0.5185,0.0696,0.0917,0.1250,0.1176,0.0000
