Model,Task,Noise_Type,Noise_Level,Seed,accuracy_gap,dp_diff,Acc_Asian,Acc_Black,Acc_Indian,Acc_Others,Acc_White,Acc_female,Acc_male,Acc_0-2,Acc_10-19,Acc_20-29,Acc_3-9,Acc_30-39,Acc_40-49,Acc_50-59,Acc_60-69,Acc_70+
Ours,race,glass,2,1,0.0180,,0.6842,0.8394,0.6933,0.2619,0.8432,,,,,,,,,,,
Ours,race,glass,3,1,0.0400,,0.6842,0.8394,0.6867,0.2857,0.8480,,,,,,,,,,,
Ours,race,impulse,1,1,0.0303,,0.6118,0.8238,0.7667,0.1429,0.8361,,,,,,,,,,,
Ours,race,impulse,2,1,0.0204,,0.5855,0.7979,0.7600,0.0833,0.8551,,,,,,,,,,,
Ours,race,impulse,3,1,0.0208,,0.5789,0.7358,0.7333,0.0595,0.8480,,,,,,,,,,,
Ours,race,jpeg,1,1,0.0156,,0.8092,0.8549,0.7133,0.2619,0.8575,,,,,,,,,,,
Ours,race,jpeg,2,1,0.0096,,0.8224,0.8601,0.7333,0.2262,0.8385,,,,,,,,,,,
Ours,race,jpeg,3,1,0.0199,,0.7697,0.8446,0.7200,0.1667,0.8456,,,,,,,,,,,
Ours,race,shot,1,1,0.0201,,0.7895,0.8238,0.6333,0.1667,0.8456,,,,,,,,,,,
Ours,race,shot,2,1,0.0305,,0.7039,0.7927,0.6000,0.1190,0.8480,,,,,,,,,,,
Ours,race,shot,3,1,0.0431,,0.6250,0.7565,0.5400,0.0714,0.8385,,,,,,,,,,,
Ours,race,clean,0,2,0.0003,,0.8026,0.8394,0.6867,0.2500,0.8504,,,,,,,,,,,
Ours,race,cutout,1,2,0.0084,,0.7763,0.8549,0.7067,0.2381,0.8765,,,,,,,,,,,
Ours,race,cutout,2,2,0.0157,,0.7500,0.8601,0.7200,0.1905,0.8694,,,,,,,,,,,
Ours,race,cutout,3,2,0.0118,,0.7303,0.8497,0.6867,0.1786,0.8812,,,,,,,,,,,
Ours,race,defocus,1,2,0.0081,,0.7368,0.8342,0.6533,0.2619,0.8337,,,,,,,,,,,
Ours,race,defocus,2,2,0.0028,,0.6513,0.7461,0.6200,0.1905,0.8242,,,,,,,,,,,
Ours,race,defocus,3,2,0.0067,,0.6184,0.6839,0.6067,0.1190,0.8100,,,,,,,,,,,
Ours,race,gaussian,1,2,0.0241,,0.7500,0.8394,0.6800,0.1548,0.8432,,,,,,,,,,,
Ours,race,gaussian,2,2,0.0165,,0.6974,0.8031,0.5867,0.0952,0.8527,,,,,,,,,,,
Ours,race,gaussian,3,2,0.0329,,0.6645,0.7927,0.5733,0.0476,0.8361,,,,,,,,,,,
Ours,race,glass,1,2,0.0043,,0.8158,0.8497,0.6600,0.2500,0.8551,,,,,,,,,,,
Ours,race,glass,2,2,0.0181,,0.7105,0.8549,0.6667,0.2619,0.8266,,,,,,,,,,,
Ours,race,glass,3,2,0.0380,,0.6908,0.8497,0.6667,0.2976,0.8432,,,,,,,,,,,
Ours,race,impulse,1,2,0.0404,,0.6118,0.8187,0.7400,0.1071,0.8385,,,,,,,,,,,
Ours,race,impulse,2,2,0.0065,,0.5855,0.7927,0.7333,0.0833,0.8551,,,,,,,,,,,
Ours,race,impulse,3,2,0.0308,,0.5658,0.7513,0.6933,0.0357,0.8622,,,,,,,,,,,
Ours,race,jpeg,1,2,0.0023,,0.8026,0.8446,0.6867,0.2500,0.8504,,,,,,,,,,,
Ours,race,jpeg,2,2,0.0097,,0.8026,0.8756,0.7133,0.2262,0.8314,,,,,,,,,,,
Ours,race,jpeg,3,2,0.0239,,0.7829,0.8446,0.7133,0.1667,0.8385,,,,,,,,,,,
Ours,race,shot,1,2,0.0182,,0.7829,0.8187,0.5867,0.1548,0.8575,,,,,,,,,,,
Ours,race,shot,2,2,0.0246,,0.6645,0.8083,0.5867,0.0952,0.8480,,,,,,,,,,,
Ours,race,shot,3,2,0.0373,,0.6053,0.7461,0.4867,0.0833,0.8409,,,,,,,,,,,
Ours,race,clean,0,3,0.0177,,0.8026,0.8446,0.6800,0.2381,0.8551,,,,,,,,,,,
Ours,race,cutout,1,3,0.0004,,0.7829,0.8497,0.7067,0.2143,0.8670,,,,,,,,,,,
Ours,race,cutout,2,3,0.0036,,0.7632,0.8549,0.7067,0.2500,0.8694,,,,,,,,,,,
Ours,race,cutout,3,3,0.0016,,0.7566,0.8601,0.6933,0.2262,0.8812,,,,,,,,,,,
Ours,race,defocus,1,3,0.0120,,0.7303,0.8446,0.6467,0.2619,0.8480,,,,,,,,,,,
Ours,race,defocus,2,3,0.0167,,0.6579,0.7772,0.6667,0.1667,0.8124,,,,,,,,,,,
Ours,race,defocus,3,3,0.0177,,0.6184,0.6839,0.6600,0.0476,0.7482,,,,,,,,,,,
Ours,race,gaussian,1,3,0.0101,,0.7895,0.8290,0.6800,0.1786,0.8266,,,,,,,,,,,
Ours,race,gaussian,2,3,0.0245,,0.7303,0.8083,0.6133,0.1310,0.8266,,,,,,,,,,,
Ours,race,gaussian,3,3,0.0289,,0.6711,0.8135,0.6000,0.0833,0.8029,,,,,,,,,,,
Ours,race,glass,1,3,0.0098,,0.7961,0.8497,0.6533,0.2381,0.8504,,,,,,,,,,,
Ours,race,glass,2,3,0.0140,,0.7039,0.8601,0.6733,0.2500,0.8456,,,,,,,,,,,
Ours,race,glass,3,3,0.0319,,0.7039,0.8549,0.6733,0.3214,0.8409,,,,,,,,,,,
Ours,race,impulse,1,3,0.0243,,0.6382,0.8238,0.7533,0.1429,0.8290,,,,,,,,,,,
Ours,race,impulse,2,3,0.0046,,0.6053,0.8031,0.7000,0.0952,0.8361,,,,,,,,,,,
Ours,race,impulse,3,3,0.0188,,0.6118,0.7513,0.7067,0.0357,0.8456,,,,,,,,,,,
Ours,race,jpeg,1,3,0.0117,,0.8092,0.8446,0.6800,0.2381,0.8551,,,,,,,,,,,
Ours,race,jpeg,2,3,0.0004,,0.8224,0.8601,0.7200,0.2262,0.8456,,,,,,,,,,,
Ours,race,jpeg,3,3,0.0079,,0.7500,0.8497,0.7000,0.1905,0.8527,,,,,,,,,,,
Ours,race,shot,1,3,0.0222,,0.7895,0.8187,0.6067,0.1667,0.8361,,,,,,,,,,,
Ours,race,shot,2,3,0.0167,,0.7368,0.8031,0.5600,0.1310,0.8219,,,,,,,,,,,
Ours,race,shot,3,3,0.0352,,0.6579,0.7409,0.5400,0.0833,0.8124,,,,,,,,,,,
Ours,race,clean,0,4,0.0116,,0.8092,0.8549,0.7067,0.2500,0.8527,,,,,,,,,,,
Ours,race,cutout,1,4,0.0116,,0.7763,0.8705,0.6933,0.2381,0.8694,,,,,,,,,,,
Ours,race,cutout,2,4,0.0216,,0.7632,0.8756,0.7000,0.2143,0.8717,,,,,,,,,,,
Ours,race,cutout,3,4,0.0156,,0.7566,0.8756,0.6733,0.1667,0.8860,,,,,,,,,,,
Ours,race,defocus,1,4,0.0120,,0.7368,0.8394,0.6600,0.2500,0.8456,,,,,,,,,,,
Ours,race,defocus,2,4,0.0012,,0.6842,0.7824,0.6533,0.1548,0.8005,,,,,,,,,,,
Ours,race,defocus,3,4,0.0021,,0.6250,0.6943,0.6133,0.0595,0.7221,,,,,,,,,,,
Ours,race,gaussian,1,4,0.0201,,0.7566,0.8238,0.6800,0.1786,0.8385,,,,,,,,,,,
Ours,race,gaussian,2,4,0.0124,,0.6974,0.8031,0.6400,0.1310,0.8456,,,,,,,,,,,
Ours,race,gaussian,3,4,0.0228,,0.6382,0.8238,0.6067,0.0952,0.8171,,,,,,,,,,,
Ours,race,glass,1,4,0.0057,,0.7961,0.8549,0.6867,0.2262,0.8527,,,,,,,,,,,
Ours,race,glass,2,4,0.0240,,0.7105,0.8497,0.6933,0.2500,0.8432,,,,,,,,,,,
Ours,race,glass,3,4,0.0300,,0.6974,0.8549,0.6800,0.2857,0.8456,,,,,,,,,,,
Ours,race,impulse,1,4,0.0304,,0.6118,0.8187,0.7533,0.1548,0.8314,,,,,,,,,,,
Ours,race,impulse,2,4,0.0125,,0.5987,0.7979,0.7667,0.0952,0.8361,,,,,,,,,,,
Ours,race,impulse,3,4,0.0208,,0.5592,0.7617,0.7467,0.0357,0.8385,,,,,,,,,,,
Ours,race,jpeg,1,4,0.0096,,0.8158,0.8549,0.7067,0.2500,0.8527,,,,,,,,,,,
Ours,race,jpeg,2,4,0.0116,,0.8026,0.8705,0.7000,0.2024,0.8551,,,,,,,,,,,
Ours,race,jpeg,3,4,0.0198,,0.7697,0.8549,0.7200,0.1667,0.8456,,,,,,,,,,,
Ours,race,shot,1,4,0.0182,,0.7763,0.8238,0.6133,0.1786,0.8432,,,,,,,,,,,
Ours,race,shot,2,4,0.0386,,0.6908,0.8031,0.6067,0.1310,0.8385,,,,,,,,,,,
Ours,race,shot,3,4,0.0251,,0.6447,0.7772,0.5467,0.0952,0.8171,,,,,,,,,,,
Ours,gender,clean,0,0,0.0849,0.1853,,,,,,0.9294,0.9206,,,,,,,,,
Ours,gender,cutout,1,0,0.0718,0.2119,,,,,,0.9315,0.9266,,,,,,,,,
Ours,gender,cutout,2,0,0.0784,0.2187,,,,,,0.9294,0.9325,,,,,,,,,
Ours,gender,cutout,3,0,0.0915,0.1854,,,,,,0.9274,0.9187,,,,,,,,,
Ours,gender,defocus,1,0,0.0798,0.1988,,,,,,0.9274,0.9187,,,,,,,,,
Ours,gender,defocus,2,0,0.0660,0.1989,,,,,,0.8851,0.8889,,,,,,,,,
Ours,gender,defocus,3,0,0.1429,0.1856,,,,,,0.8327,0.8770,,,,,,,,,
Ours,gender,gaussian,1,0,0.0812,0.1610,,,,,,0.8952,0.9385,,,,,,,,,
Ours,gender,gaussian,2,0,0.0722,0.1791,,,,,,0.8710,0.9226,,,,,,,,,
Ours,gender,gaussian,3,0,0.1128,0.2051,,,,,,0.8790,0.8869,,,,,,,,,
Ours,gender,glass,1,0,0.1033,0.1967,,,,,,0.9234,0.9286,,,,,,,,,
Ours,gender,glass,2,0,0.0562,0.1786,,,,,,0.9234,0.9008,,,,,,,,,
Ours,gender,glass,3,0,0.0929,0.1721,,,,,,0.9214,0.8988,,,,,,,,,
Ours,gender,impulse,1,0,0.0680,0.2050,,,,,,0.9194,0.9008,,,,,,,,,
Ours,gender,impulse,2,0,0.0449,0.2048,,,,,,0.9032,0.8710,,,,,,,,,
Ours,gender,impulse,3,0,0.1128,0.1918,,,,,,0.8790,0.8750,,,,,,,,,
Ours,gender,jpeg,1,0,0.0849,0.1919,,,,,,0.9294,0.9226,,,,,,,,,
Ours,gender,jpeg,2,0,0.0967,0.1922,,,,,,0.9214,0.9226,,,,,,,,,
Ours,gender,jpeg,3,0,0.0981,0.1919,,,,,,0.9395,0.9048,,,,,,,,,
Ours,gender,shot,1,0,0.0404,0.1743,,,,,,0.8952,0.9345,,,,,,,,,
Ours,gender,shot,2,0,0.0602,0.1921,,,,,,0.8831,0.9087,,,,,,,,,
Ours,gender,shot,3,0,0.0819,0.1982,,,,,,0.8750,0.8710,,,,,,,,,
Ours,gender,clean,0,1,0.0849,0.2186,,,,,,0.9294,0.9187,,,,,,,,,
Ours,gender,cutout,1,1,0.0521,0.2318,,,,,,0.9274,0.9286,,,,,,,,,
Ours,gender,cutout,2,1,0.0586,0.2319,,,,,,0.9355,0.9345,,,,,,,,,
Ours,gender,cutout,3,1,0.0849,0.2053,,,,,,0.9315,0.9167,,,,,,,,,
Ours,gender,defocus,1,1,0.0582,0.2186,,,,,,0.9254,0.8909,,,,,,,,,
Ours,gender,defocus,2,1,0.1087,0.2050,,,,,,0.8931,0.8472,,,,,,,,,
Ours,gender,defocus,3,1,0.1679,0.2116,,,,,,0.8589,0.8175,,,,,,,,,
Ours,gender,gaussian,1,1,0.0694,0.1771,,,,,,0.8730,0.9306,,,,,,,,,
Ours,gender,gaussian,2,1,0.0778,0.1727,,,,,,0.8589,0.9048,,,,,,,,,
Ours,gender,gaussian,3,1,0.1109,0.1525,,,,,,0.8669,0.8810,,,,,,,,,
Ours,gender,glass,1,1,0.0877,0.2584,,,,,,0.9254,0.9147,,,,,,,,,
Ours,gender,glass,2,1,0.0584,0.2053,,,,,,0.9254,0.9107,,,,,,,,,
Ours,gender,glass,3,1,0.0782,0.2250,,,,,,0.9194,0.8968,,,,,,,,,
Ours,gender,impulse,1,1,0.0650,0.1990,,,,,,0.8972,0.9167,,,,,,,,,
Ours,gender,impulse,2,1,0.0918,0.1855,,,,,,0.8911,0.8948,,,,,,,,,
Ours,gender,impulse,3,1,0.1041,0.1989,,,,,,0.8589,0.8889,,,,,,,,,
Ours,gender,jpeg,1,1,0.0784,0.2120,,,,,,0.9294,0.9206,,,,,,,,,
Ours,gender,jpeg,2,1,0.0798,0.2123,,,,,,0.9133,0.9286,,,,,,,,,
Ours,gender,jpeg,3,1,0.0600,0.1792,,,,,,0.9173,0.9266,,,,,,,,,
Ours,gender,shot,1,1,0.0788,0.1505,,,,,,0.8730,0.9266,,,,,,,,,
Ours,gender,shot,2,1,0.0721,0.1656,,,,,,0.8831,0.9087,,,,,,,,,
Ours,gender,shot,3,1,0.0925,0.1655,,,,,,0.8690,0.8671,,,,,,,,,
Ours,gender,clean,0,2,0.0784,0.2582,,,,,,0.9355,0.9127,,,,,,,,,
Ours,gender,cutout,1,2,0.0835,0.2385,,,,,,0.9335,0.9266,,,,,,,,,
Ours,gender,cutout,2,2,0.0967,0.2648,,,,,,0.9355,0.9226,,,,,,,,,
Ours,gender,cutout,3,2,0.1127,0.1922,,,,,,0.9214,0.9187,,,,,,,,,
Ours,gender,defocus,1,2,0.0666,0.1989,,,,,,0.9133,0.9306,,,,,,,,,
Ours,gender,defocus,2,2,0.1370,0.1926,,,,,,0.8427,0.9187,,,,,,,,,
Ours,gender,defocus,3,2,0.0971,0.1794,,,,,,0.7944,0.9087,,,,,,,,,
Ours,gender,gaussian,1,2,0.0614,0.2125,,,,,,0.8972,0.9246,,,,,,,,,
Ours,gender,gaussian,2,2,0.0779,0.1726,,,,,,0.8669,0.9167,,,,,,,,,
Ours,gender,gaussian,3,2,0.1075,0.1989,,,,,,0.8649,0.8869,,,,,,,,,
Ours,gender,glass,1,2,0.1061,0.2849,,,,,,0.9194,0.9187,,,,,,,,,
Ours,gender,glass,2,2,0.1009,0.2184,,,,,,0.9234,0.9107,,,,,,,,,
Ours,gender,glass,3,2,0.0971,0.2122,,,,,,0.8891,0.9167,,,,,,,,,
Ours,gender,impulse,1,2,0.0846,0.2048,,,,,,0.9194,0.8829,,,,,,,,,
Ours,gender,impulse,2,2,0.1308,0.2510,,,,,,0.9093,0.8571,,,,,,,,,
Ours,gender,impulse,3,2,0.1576,0.2248,,,,,,0.8710,0.8631,,,,,,,,,
Ours,gender,jpeg,1,2,0.0784,0.2582,,,,,,0.9355,0.9127,,,,,,,,,
Ours,gender,jpeg,2,2,0.1033,0.2518,,,,,,0.9254,0.9167,,,,,,,,,
Ours,gender,jpeg,3,2,0.0980,0.2318,,,,,,0.9355,0.8988,,,,,,,,,
Ours,gender,shot,1,2,0.0905,0.1914,,,,,,0.9012,0.9167,,,,,,,,,
Ours,gender,shot,2,2,0.0854,0.1833,,,,,,0.8810,0.9067,,,,,,,,,
Ours,gender,shot,3,2,0.0819,0.1919,,,,,,0.8589,0.8770,,,,,,,,,
Ours,gender,clean,0,3,0.0586,0.2319,,,,,,0.9274,0.9187,,,,,,,,,
Ours,gender,cutout,1,3,0.0822,0.2382,,,,,,0.9355,0.9266,,,,,,,,,
Ours,gender,cutout,2,3,0.0652,0.2185,,,,,,0.9294,0.9246,,,,,,,,,
Ours,gender,cutout,3,3,0.0746,0.1919,,,,,,0.9375,0.9107,,,,,,,,,
Ours,gender,defocus,1,3,0.0812,0.1857,,,,,,0.9093,0.9206,,,,,,,,,
Ours,gender,defocus,2,3,0.0909,0.1995,,,,,,0.8387,0.9167,,,,,,,,,
Ours,gender,defocus,3,3,0.1165,0.1798,,,,,,0.7601,0.9028,,,,,,,,,
Ours,gender,gaussian,1,3,0.0562,0.1858,,,,,,0.8891,0.9266,,,,,,,,,
Ours,gender,gaussian,2,3,0.0736,0.1790,,,,,,0.8690,0.9206,,,,,,,,,
Ours,gender,gaussian,3,3,0.1075,0.1852,,,,,,0.8790,0.8810,,,,,,,,,
Ours,gender,glass,1,3,0.0877,0.2186,,,,,,0.9294,0.9147,,,,,,,,,
Ours,gender,glass,2,3,0.0732,0.2052,,,,,,0.9214,0.9028,,,,,,,,,
Ours,gender,glass,3,3,0.0918,0.2118,,,,,,0.9133,0.8968,,,,,,,,,
Ours,gender,impulse,1,3,0.0582,0.1786,,,,,,0.9113,0.9008,,,,,,,,,
Ours,gender,impulse,2,3,0.0911,0.2511,,,,,,0.9012,0.8651,,,,,,,,,
Ours,gender,impulse,3,3,0.1175,0.2116,,,,,,0.8810,0.8750,,,,,,,,,
Ours,gender,jpeg,1,3,0.0586,0.2319,,,,,,0.9274,0.9187,,,,,,,,,
Ours,gender,jpeg,2,3,0.0863,0.2387,,,,,,0.9032,0.9206,,,,,,,,,
Ours,gender,jpeg,3,3,0.0614,0.1862,,,,,,0.9153,0.9266,,,,,,,,,
Ours,gender,shot,1,3,0.0445,0.1848,,,,,,0.8952,0.9425,,,,,,,,,
Ours,gender,shot,2,3,0.0602,0.1752,,,,,,0.8911,0.8988,,,,,,,,,
Ours,gender,shot,3,3,0.0799,0.1915,,,,,,0.8790,0.8651,,,,,,,,,
Ours,gender,clean,0,4,0.0718,0.2251,,,,,,0.9214,0.9087,,,,,,,,,
Ours,gender,cutout,1,4,0.0600,0.2450,,,,,,0.9335,0.9187,,,,,,,,,
Ours,gender,cutout,2,4,0.0534,0.2451,,,,,,0.9274,0.9306,,,,,,,,,
Ours,gender,cutout,3,4,0.0628,0.1657,,,,,,0.9214,0.9167,,,,,,,,,
Ours,gender,defocus,1,4,0.0614,0.1858,,,,,,0.9073,0.9167,,,,,,,,,
Ours,gender,defocus,2,4,0.0820,0.2066,,,,,,0.8065,0.9206,,,,,,,,,
Ours,gender,defocus,3,4,0.0880,0.2001,,,,,,0.7117,0.9167,,,,,,,,,
Ours,gender,gaussian,1,4,0.0451,0.1824,,,,,,0.8911,0.9385,,,,,,,,,
Ours,gender,gaussian,2,4,0.0539,0.1925,,,,,,0.8710,0.9246,,,,,,,,,
Ours,gender,gaussian,3,4,0.0977,0.1791,,,,,,0.8589,0.9067,,,,,,,,,
Ours,gender,glass,1,4,0.0943,0.2452,,,,,,0.9113,0.9087,,,,,,,,,
Ours,gender,glass,2,4,0.0649,0.1986,,,,,,0.9194,0.8948,,,,,,,,,
Ours,gender,glass,3,4,0.0708,0.2122,,,,,,0.9012,0.8988,,,,,,,,,
Ours,gender,impulse,1,4,0.0518,0.1719,,,,,,0.9194,0.8948,,,,,,,,,
Ours,gender,impulse,2,4,0.0865,0.2511,,,,,,0.9052,0.8750,,,,,,,,,
Ours,gender,impulse,3,4,0.1174,0.1851,,,,,,0.8790,0.8710,,,,,,,,,
Ours,gender,jpeg,1,4,0.0718,0.2251,,,,,,0.9214,0.9067,,,,,,,,,
Ours,gender,jpeg,2,4,0.0652,0.2255,,,,,,0.9173,0.9187,,,,,,,,,
Ours,gender,jpeg,3,4,0.0455,0.1810,,,,,,0.9153,0.9405,,,,,,,,,
Ours,gender,shot,1,4,0.0431,0.1810,,,,,,0.8871,0.9464,,,,,,,,,
Ours,gender,shot,2,4,0.0799,0.1781,,,,,,0.8690,0.9246,,,,,,,,,
Ours,gender,shot,3,4,0.0758,0.1593,,,,,,0.8528,0.8909,,,,,,,,,
Ours,age,clean,0,0,0.2273,,,,,,,,,0.8989,0.4035,0.7181,0.6143,0.3878,0.2041,0.3295,0.2745,0.6415
Ours,age,cutout,1,0,0.2287,,,,,,,,,0.8539,0.4737,0.7517,0.6286,0.4082,0.1939,0.3750,0.1961,0.6792
Ours,age,cutout,2,0,0.2442,,,,,,,,,0.8652,0.4035,0.7383,0.6286,0.3929,0.1837,0.3295,0.2353,0.7170
Ours,age,cutout,3,0,0.2047,,,,,,,,,0.8315,0.4211,0.7114,0.6000,0.3622,0.1939,0.3409,0.2549,0.6981
Ours,age,defocus,1,0,0.2123,,,,,,,,,0.7191,0.2632,0.7081,0.5857,0.4694,0.1735,0.2386,0.2549,0.5283
Ours,age,defocus,2,0,0.1468,,,,,,,,,0.5281,0.2105,0.5436,0.4571,0.5714,0.1531,0.1023,0.1176,0.3774
Ours,age,defocus,3,0,0.1552,,,,,,,,,0.4157,0.1930,0.4295,0.3571,0.5867,0.2041,0.0114,0.1569,0.2453
Ours,age,gaussian,1,0,0.1725,,,,,,,,,0.7978,0.5789,0.5738,0.5143,0.1480,0.2041,0.3636,0.2549,0.5660
Ours,age,gaussian,2,0,0.1999,,,,,,,,,0.7640,0.6140,0.5503,0.4714,0.1633,0.1939,0.4318,0.2745,0.5472
Ours,age,gaussian,3,0,0.2199,,,,,,,,,0.6404,0.5614,0.5067,0.4000,0.1633,0.1224,0.2386,0.2549,0.4340
Ours,age,glass,1,0,0.2480,,,,,,,,,0.8876,0.2982,0.7248,0.6286,0.4133,0.2143,0.2841,0.2745,0.6226
Ours,age,glass,2,0,0.2342,,,,,,,,,0.8652,0.2982,0.7315,0.5286,0.3980,0.1939,0.2955,0.2941,0.5472
Ours,age,glass,3,0,0.2071,,,,,,,,,0.7416,0.2807,0.6913,0.6143,0.4184,0.1837,0.2614,0.3333,0.5472
Ours,age,impulse,1,0,0.1435,,,,,,,,,0.7865,0.5088,0.6443,0.5571,0.1429,0.1429,0.3409,0.2745,0.6604
Ours,age,impulse,2,0,0.1730,,,,,,,,,0.6966,0.4561,0.5738,0.5143,0.1480,0.0918,0.3295,0.2745,0.6226
Ours,age,impulse,3,0,0.1866,,,,,,,,,0.6742,0.5614,0.5403,0.4429,0.1071,0.0612,0.2273,0.2745,0.6415
Ours,age,jpeg,1,0,0.2273,,,,,,,,,0.8989,0.4035,0.7181,0.6143,0.3878,0.2041,0.3295,0.2745,0.6415
Ours,age,jpeg,2,0,0.2187,,,,,,,,,0.8876,0.2456,0.8154,0.6000,0.2398,0.2041,0.3068,0.3333,0.5849
Ours,age,jpeg,3,0,0.1971,,,,,,,,,0.8315,0.3509,0.7953,0.6714,0.1582,0.1429,0.3636,0.3137,0.6792
Ours,age,shot,1,0,0.1561,,,,,,,,,0.7528,0.6140,0.5805,0.5000,0.1735,0.1224,0.3977,0.2745,0.6226
Ours,age,shot,2,0,0.1544,,,,,,,,,0.7416,0.5965,0.5000,0.5000,0.2092,0.1429,0.3409,0.1765,0.5472
Ours,age,shot,3,0,0.1948,,,,,,,,,0.6517,0.6140,0.4295,0.3857,0.1582,0.1531,0.3068,0.2353,0.5283
Ours,age,clean,0,1,0.2504,,,,,,,,,0.8539,0.4211,0.7282,0.6714,0.3673,0.1633,0.3295,0.2941,0.6604
Ours,age,cutout,1,1,0.2424,,,,,,,,,0.8202,0.5439,0.7450,0.6714,0.3316,0.1837,0.3750,0.2157,0.6981
Ours,age,cutout,2,1,0.2452,,,,,,,,,0.7978,0.4737,0.7450,0.6286,0.3622,0.1633,0.3977,0.2157,0.6226
Ours,age,cutout,3,1,0.1996,,,,,,,,,0.7978,0.4912,0.7215,0.6571,0.3673,0.1939,0.3750,0.2353,0.6415
Ours,age,defocus,1,1,0.1963,,,,,,,,,0.6854,0.3860,0.7114,0.5571,0.4337,0.1429,0.1818,0.2549,0.4717
Ours,age,defocus,2,1,0.1603,,,,,,,,,0.4719,0.2105,0.5134,0.4714,0.5612,0.1122,0.0682,0.2941,0.2830
Ours,age,defocus,3,1,0.2011,,,,,,,,,0.4157,0.2807,0.3859,0.3286,0.5867,0.1122,0.0000,0.2353,0.1887
Ours,age,gaussian,1,1,0.1983,,,,,,,,,0.8315,0.6140,0.5805,0.5714,0.1531,0.2245,0.2500,0.3137,0.6226
Ours,age,gaussian,2,1,0.1895,,,,,,,,,0.7416,0.6316,0.5336,0.4857,0.1276,0.2245,0.2841,0.3725,0.5283
Ours,age,gaussian,3,1,0.2126,,,,,,,,,0.6854,0.5614,0.4631,0.4571,0.1020,0.1633,0.1136,0.4118,0.4717
Ours,age,glass,1,1,0.2885,,,,,,,,,0.8652,0.3684,0.7416,0.6714,0.3622,0.1633,0.3068,0.3137,0.6415
Ours,age,glass,2,1,0.2306,,,,,,,,,0.8315,0.3860,0.7282,0.6143,0.3469,0.1735,0.2955,0.2941,0.6038
Ours,age,glass,3,1,0.2589,,,,,,,,,0.7191,0.3158,0.6846,0.5571,0.4337,0.1122,0.2045,0.3137,0.5472
Ours,age,impulse,1,1,0.1525,,,,,,,,,0.7416,0.5439,0.6007,0.6571,0.1735,0.1531,0.2273,0.3922,0.6038
Ours,age,impulse,2,1,0.2196,,,,,,,,,0.6629,0.4912,0.5436,0.6857,0.1633,0.1327,0.1818,0.3529,0.6604
Ours,age,impulse,3,1,0.1735,,,,,,,,,0.6292,0.5439,0.4933,0.5286,0.1582,0.0816,0.1364,0.4510,0.6604
Ours,age,jpeg,1,1,0.2504,,,,,,,,,0.8539,0.4211,0.7282,0.6857,0.3622,0.1633,0.3295,0.2941,0.6604
Ours,age,jpeg,2,1,0.2292,,,,,,,,,0.7978,0.2632,0.7852,0.6286,0.3061,0.1939,0.2727,0.3333,0.6226
Ours,age,jpeg,3,1,0.2396,,,,,,,,,0.7865,0.3509,0.7248,0.7000,0.2908,0.1837,0.2273,0.4118,0.6415
Ours,age,shot,1,1,0.2045,,,,,,,,,0.7753,0.6667,0.5805,0.5286,0.1684,0.1429,0.3409,0.3333,0.6038
Ours,age,shot,2,1,0.1829,,,,,,,,,0.7191,0.5789,0.4698,0.5571,0.1582,0.1531,0.2045,0.2941,0.5849
Ours,age,shot,3,1,0.2335,,,,,,,,,0.6292,0.6842,0.4430,0.4571,0.0969,0.1531,0.1705,0.3725,0.5472
Ours,age,clean,0,2,0.2175,,,,,,,,,0.8764,0.4386,0.7081,0.6429,0.3622,0.1633,0.3068,0.3333,0.6604
Ours,age,cutout,1,2,0.2061,,,,,,,,,0.8539,0.4386,0.7450,0.6286,0.3418,0.1735,0.4091,0.2745,0.6981
Ours,age,cutout,2,2,0.2075,,,,,,,,,0.7978,0.4561,0.7450,0.6429,0.3418,0.1735,0.3864,0.2353,0.7170
Ours,age,cutout,3,2,0.1732,,,,,,,,,0.7865,0.3684,0.7282,0.6857,0.3163,0.2041,0.3523,0.2745,0.6792
Ours,age,defocus,1,2,0.2015,,,,,,,,,0.6854,0.3509,0.6644,0.6000,0.4898,0.1939,0.1591,0.2549,0.4906
Ours,age,defocus,2,2,0.1390,,,,,,,,,0.3820,0.2105,0.4933,0.5286,0.5357,0.2143,0.0568,0.2941,0.3019
Ours,age,defocus,3,2,0.1662,,,,,,,,,0.3371,0.2456,0.3456,0.4000,0.6020,0.2143,0.0000,0.1765,0.2075
Ours,age,gaussian,1,2,0.1962,,,,,,,,,0.8202,0.5439,0.5738,0.5571,0.1837,0.2143,0.2727,0.4706,0.4906
Ours,age,gaussian,2,2,0.1895,,,,,,,,,0.7753,0.5088,0.5000,0.5857,0.1786,0.2347,0.3182,0.3725,0.3774
Ours,age,gaussian,3,2,0.2089,,,,,,,,,0.7640,0.5263,0.4497,0.5286,0.1327,0.2143,0.1364,0.4118,0.3774
Ours,age,glass,1,2,0.2424,,,,,,,,,0.8876,0.3509,0.7181,0.6571,0.3929,0.1837,0.2386,0.3137,0.6226
Ours,age,glass,2,2,0.2358,,,,,,,,,0.8202,0.2807,0.7114,0.6000,0.3878,0.2245,0.2386,0.3333,0.6038
Ours,age,glass,3,2,0.2039,,,,,,,,,0.7303,0.2807,0.6678,0.5714,0.4439,0.2449,0.2159,0.3333,0.5660
