Model,Task,Noise_Type,Noise_Level,Seed,N_samples,Acc,F1_macro,AUC,Acc_Asian,Acc_Black,Acc_Indian,Acc_Others,Acc_White,accuracy_gap,worst_group_acc,best_group_acc,dp_diff,eq_odds_diff,Acc_female,Acc_male,Acc_0-2,Acc_10-19,Acc_20-29,Acc_3-9,Acc_30-39,Acc_40-49,Acc_50-59,Acc_60-69,Acc_70+
Ours,age,gaussian,2,4,1000,0.413000,0.389408,0.821404,,,,,,0.184925,0.362694,0.547619,,0.427788,,,0.775281,0.596491,0.523490,0.514286,0.168367,0.132653,0.352273,0.235294,0.547170
Ours,age,gaussian,3,4,1000,0.366000,0.347833,0.791650,,,,,,0.226316,0.300000,0.526316,,0.367870,,,0.741573,0.543860,0.456376,0.485714,0.158163,0.132653,0.238636,0.235294,0.415094
Ours,age,glass,1,4,1000,0.522000,0.488015,0.863166,,,,,,0.224059,0.440415,0.664474,,0.352260,,,0.898876,0.350877,0.697987,0.585714,0.403061,0.204082,0.329545,0.254902,0.603774
Ours,age,glass,2,4,1000,0.520000,0.488377,0.857460,,,,,,0.237217,0.440415,0.677632,,0.329459,,,0.865169,0.350877,0.697987,0.600000,0.418367,0.193878,0.284091,0.294118,0.603774
Ours,age,glass,3,4,1000,0.482000,0.454435,0.841279,,,,,,0.189358,0.409326,0.598684,,0.346261,,,0.775281,0.298246,0.620805,0.614286,0.459184,0.153061,0.227273,0.294118,0.528302
Ours,age,impulse,1,4,1000,0.455000,0.423786,0.840703,,,,,,0.171019,0.414508,0.585526,,0.414948,,,0.786517,0.578947,0.617450,0.600000,0.168367,0.142857,0.363636,0.294118,0.603774
Ours,age,impulse,2,4,1000,0.408000,0.378376,0.830464,,,,,,0.192895,0.340000,0.532895,,0.371993,,,0.741573,0.491228,0.536913,0.600000,0.147959,0.071429,0.340909,0.235294,0.641509
Ours,age,impulse,3,4,1000,0.398000,0.363341,0.812280,,,,,,0.166754,0.326667,0.493421,,0.421255,,,0.685393,0.526316,0.540268,0.457143,0.163265,0.051020,0.318182,0.254902,0.679245
Ours,age,jpeg,1,4,1000,0.523000,0.486011,0.865039,,,,,,0.221673,0.455959,0.677632,,0.360892,,,0.910112,0.385965,0.731544,0.614286,0.357143,0.173469,0.318182,0.235294,0.603774
Ours,age,jpeg,2,4,1000,0.523000,0.480705,0.856370,,,,,,0.242807,0.461140,0.703947,,0.334603,,,0.898876,0.263158,0.781879,0.642857,0.285714,0.214286,0.306818,0.274510,0.603774
Ours,age,jpeg,3,4,1000,0.497000,0.461923,0.844558,,,,,,0.224474,0.440000,0.664474,,0.339251,,,0.808989,0.280702,0.681208,0.728571,0.275510,0.275510,0.272727,0.333333,0.622642
Ours,age,shot,1,4,1000,0.441000,0.412980,0.832422,,,,,,0.211072,0.367876,0.578947,,0.435277,,,0.808989,0.543860,0.563758,0.542857,0.214286,0.112245,0.386364,0.254902,0.603774
Ours,age,shot,2,4,1000,0.386000,0.364766,0.812909,,,,,,0.206316,0.320000,0.526316,,0.423156,,,0.730337,0.561404,0.466443,0.542857,0.198980,0.071429,0.318182,0.156863,0.566038
Ours,age,shot,3,4,1000,0.346000,0.333188,0.795181,,,,,,0.247018,0.226667,0.473684,,0.454328,,,0.674157,0.578947,0.412752,0.428571,0.137755,0.102041,0.272727,0.235294,0.509434
